index,start_time,end_time,original_telugu,transliteration,Actors
43,"00:02:11,879","00:02:12,339",ఛి ఛి,chi chi,
44,"00:02:12,389","00:02:12,489",ఛి,chi,
45,"00:02:13,120","00:02:13,870",ఆ ముక్కు చూసావుటే,aa mukku choosaavute,
46,"00:02:14,139","00:02:15,049",అచ్చం మా నాన్నగారి,achham maa naannagaari,
47,"00:02:15,360","00:02:16,659",పోలిక కదటే అమ్మ,polika kadhate amma,
48,"00:02:18,330","00:02:19,169",అదేమిటే పొట్టండాయిలా,adhemite pottandaayilaa,
49,"00:02:19,219","00:02:22,939",అలా తిప్పుతున్నావు తల కొంపతీసి కాదా ఏమిటి ఏమిటా అప్రచం మాటలు,alaa thipputhunnaavu thala kompatheesi kaadhaa yemiti yemitaa apracham maatalu,
50,"00:02:23,730","00:02:24,269",అచ్చుగుద్దినట్టు ఆయన,achhugudhdhinattu aayana,
51,"00:02:24,360","00:02:24,710",పోలికే,polike,
52,"00:02:25,000","00:02:25,319",అది,adhi,
53,"00:02:26,250","00:02:26,949",వజస్తంభం కంటలా,vajasthambham kantalaa,
54,"00:02:27,000","00:02:28,389",గలగల ఎలా నవ్వుతున్నాడో వెధవ,galagala yelaa navvuthunnaado vedhava,
55,"00:02:29,439","00:02:30,289",సారీ ఇందిరా గారు,saaree indhiraa gaaru,
56,"00:02:30,659","00:02:32,090",రాత్రికి రాత్రే ఎందుకిలా జరిగిందో,raathriki raathre yendhukilaa jarigindho,
57,"00:02:32,580","00:02:33,509",నాకు అర్థం కావట్లేదు,naaku artham kaavatledhu,
58,"00:02:34,060","00:02:34,669",very unfortunate,very unfortunate,
59,"00:02:35,419","00:02:35,930",ఆ దేవుడు,aa dhevudu,
60,"00:02:36,580","00:02:38,080",నాకు ఇద్దరినీ పెంచే శక్తి లేదని,naaku idhdharinee penche shakti ledhani,
61,"00:02:38,580","00:02:39,289",ఒకడ్ని తీసుకెళ్లిపోయినట్టున్నాడు,okadni theesukellipoyinattunnaadu,
62,"00:02:40,699","00:02:41,049",వస్తానండి,vasthaanandi,
63,"00:03:12,939","00:03:14,710",నక్షత్రం ప్రకారం వీడి పేరు నాతో మొదలవ్వాలి,nakshathram prakaaram veedi peru naatho modhalavvaali,
64,"00:03:15,039","00:03:16,150",మా నాన్నగారి పేరు నరసింహాచార్యులు,maa naannagaari peru narasimhaachaaryulu,
65,"00:03:16,620","00:03:17,750",అంచేత వీడి పేరు బృందావనం,anchetha veedi peru brundhaavanam,
66,"00:03:17,900","00:03:18,250",నరసింహాచార్యులు,narasimhaachaaryulu,
67,"00:03:18,699","00:03:19,639",రాయ్ నాన్న అమ్మా,raay naanna ammaa,
68,"00:03:22,979","00:03:25,849",అబ్బాయి నక్షత్రం ప్రకారం నాతో పేరు పెడితే దివ్యంగా ఉంటుందమ్మా,abbaayi nakshathram prakaaram naatho peru pedithe dhivyangaa untundhammaa,
69,"00:03:26,379","00:03:26,729",అయితే,ayithe,
70,"00:03:27,000","00:03:27,750",ఆ లక్ష్మీ నరసింహస్వామి,aa laksha్mee narasimhasvaami,
71,"00:03:28,000","00:03:29,150",పేరే పెట్టండి సరేనమ్మా,pere pettandi sarenammaa,
72,"00:03:29,639","00:03:29,989",నరసింహ,narasimha,
73,"00:03:31,759","00:03:32,120",అమ్మా,ammaa,
74,"00:03:32,840","00:03:33,189",నరసింహ,narasimha,
75,"00:03:34,409","00:03:35,409",చార్లు ఒరేయ్,chaarlu orey,
76,"00:03:35,460","00:03:35,810",చార్లు,chaarlu,
77,"00:03:36,439","00:03:36,789",ఏమిట్రా,yemitraa,
78,"00:03:37,400","00:03:38,030",పైకి చూస్తున్నావ్,paiki choosthunnaav,
79,"00:03:40,199","00:03:42,030",కోడిని చూస్తున్నావ్ ఏమిట్రా ఏమిటోనేవ్వమ్మా,kodini choosthunnaav yemitraa yemitonevvammaa,
80,"00:03:42,840","00:03:44,090",తను పొద్దున్న నుంచి చూస్తుంటే,thanu podhdhunna nunchi choosthunte,
81,"00:03:44,300","00:03:45,370",తినాలి తినాలి అనిపిస్తుంది,thinaali thinaali anipisthundhi,
82,"00:03:45,840","00:03:46,609",ఆ కోడినా,aa kodinaa,
83,"00:03:46,919","00:03:47,269",కోడే,kode,
84,"00:03:47,860","00:03:48,829",మీ అమ్మ కొడుకు మాడా,mee amma koduku maadaa,
85,"00:03:49,060","00:03:51,569",గుండుమే గుద్దేస్తాను వెధవా అయ్యయ్యో ఏంటమ్మా అయితే చూసావటమ్మా ఎలాంటి,gundume gudhdhesthaanu vedhavaa ayyayyo yentammaa ayithe choosaavatammaa yelaanti,
86,"00:03:51,620","00:03:51,969",విరుద్ధమైన,virudhdhamaina,
87,"00:03:52,099","00:03:52,750",కోరికలు కోరుకుంటున్నాడో,korikalu korukuntunnaado,
88,"00:03:53,300","00:03:55,430",వీడి వాలకం చూస్తుంటే మన వంశాన్ని భ్రష్టు పట్టించేసేలా,veedi vaalakam choosthunte mana vamshaanni bhrashtu pattincheselaa,
89,"00:03:55,659","00:03:57,650",ఉన్నాడు ఊరుకోరా గోవిందం పాపం చిన్న పిల్లాడు,unnaadu oorukoraa govindham paapam chinna pillaadu,
90,"00:03:57,879","00:03:58,659",వాడికేం తెలుసు,vaadikem thelusu,
91,"00:03:59,080","00:04:01,729",ఈరోజు నుంచి వాడిని స్వచ్ఛమైన బ్రాహ్మణుడిలా పెంచుతాను బ్రాహ్మణుడి,eeroju nunchi vaadini svachhamaina braahmanudilaa penchuthaanu braahmanudi,
92,"00:04:01,780","00:04:02,129",లాగానా,laagaanaa,
93,"00:04:02,560","00:04:04,039",కొంపతీసి బ్రాహ్మణుడు కాదా అయితే,kompatheesi braahmanudu kaadhaa ayithe,
94,"00:04:05,569","00:04:06,479",తలదించుకుంటున్నావేమిటి అబ్బా,thaladhinchukuntunnaavemiti abbaa,
95,"00:04:06,539","00:04:06,889",ఆపండి,aapandi,
96,"00:04:07,520","00:04:08,750",వీడికి ఆ వుడుకు కాస్త చేసేస్తే,veediki aa vuduku kaastha chesesthe,
97,"00:04:09,139","00:04:11,759",ఆ పాడూ ఆలోచనలు అవే పోతాయి ముంద ఏ ఏర్పాట్లు చూడండి జై,aa paadoo aalochanalu ave pothaayi mundha ye yerpaatlu choodandi jai,
98,"00:04:23,849","00:04:24,720",బోలో గణేష్,bolo ganesh,
99,"00:04:24,779","00:04:25,129",మహరాజ్,maharaaj,
100,"00:04:25,269","00:04:25,600",కి,ki,
101,"00:04:26,339","00:04:26,869",జై రేయ్,jai rey,
102,"00:04:59,259","00:05:01,770",మళ్ళీ నా జోలికి కానీ నా friend జోలికి కానీ వస్తే,mallee naa joliki kaanee naa friend joliki kaanee vasthe,
103,"00:05:02,220","00:05:02,570",పతకావు,pathakaavu,
104,"00:05:04,500","00:05:06,629",షివ్ శంభో హే శివ్ శంభో,shiv shambho he shiv shambho,
105,"00:05:07,300","00:05:08,160",హే హే శివ్,he he shiv,
106,"00:05:08,949","00:05:09,519",శంభో హే,shambho he,
107,"00:05:09,839","00:05:10,710",శివ్ శంభో,shiv shambho,
108,"00:05:11,360","00:05:12,279",హే హే శివ్,he he shiv,
109,"00:05:13,029","00:05:13,540",శంభో హే,shambho he,
110,"00:05:13,939","00:05:14,810",శివ్ శంభో,shiv shambho,
111,"00:05:15,279","00:05:15,629",Good,Good,
112,"00:05:37,680","00:05:39,319",morning sir మ్మ్ bad morning,morning sir mm bad morning,
113,"00:05:39,720","00:05:41,819",నాలుగు గంటలకు వెళ్లి పడుకున్నాను ఆరు గంటలకు నీ phone,naalugu gantalaku velli padukunnaanu aaru gantalaku nee phone,
114,"00:05:42,740","00:05:44,699",కళ్ళ కింద black circles వస్తున్నాయి చూడు అవును sir,kalla kindha black circles vasthunnaayi choodu avunu sir,
115,"00:05:45,289","00:05:46,160",మ్మ్ ఎంతమంది,mm yenthamandhi,
116,"00:05:46,399","00:05:48,510","నలుగురు sir అందరూ రసూల్ గ్యాంగ్ ఏ సల్మాన్,","naluguru sir andharoo rasool gyaang ye salmaan,",
117,"00:05:48,699","00:05:49,050","రషీద్,","rasheedh,",
118,"00:05:49,220","00:05:49,570","బంటి,","banti,",
119,"00:05:49,740","00:05:50,090",వ్యాధి,vyaadhi,
120,"00:05:50,360","00:05:52,490",ఈ నాలుగు bodyలు బ్రతికుండగా చాలా గోరాలు చేశాయ్,ee naalugu bodylu brathikundagaa chaalaa goraalu cheshaay,
121,"00:05:52,959","00:05:54,590",cityలో సగం crimesకి వీళ్ళే కారణం,citylo sagam crimeski veelle kaaranam,
122,"00:05:55,060","00:05:56,830",మొన్న metro trainలో జరిగిన rape case అయితేనేమి,monna metro trainlo jarigina rape case ayithenemi,
123,"00:05:57,339","00:06:00,269",కొండాపురం brothers murder case అయితేనేమి వీళ్ళు చేయని నీచం అంటూ,kondaapuram brothers murder case ayithenemi veellu cheyani neecham antoo,
124,"00:06:00,319","00:06:00,670",లేదు,ledhu,
125,"00:06:00,860","00:06:01,689",మన time బావుండో,mana time baavundo,
126,"00:06:02,100","00:06:02,950",వాళ్ళ time బాగోకో,vaalla time baagoko,
127,"00:06:03,600","00:06:04,660",ఇలా bodiesగా తేలారు,ilaa bodiesgaa thelaaru,
128,"00:06:06,097","00:06:06,617",బాగుందా? ఇంకో,baagundhaa? inko,
129,"00:06:06,668","00:06:07,737",టేక్ చేద్దామా? బాగుంది సర్.,tek chedhdhaamaa? baagundhi sar.,
130,"00:06:07,987","00:06:08,338",అదేంటయ్యా?,adhentayyaa?,
131,"00:06:08,987","00:06:10,278",మొన్న అన్న నువ్వు మరీ లావుగా చూపించావ్.,monna anna nuvvu maree laavugaa choopinchaav.,
132,"00:06:10,848","00:06:11,737",కాస్త కేర్ తీసుకోండమ్మా.,kaastha ker theesukondammaa.,
133,"00:06:12,348","00:06:12,998",ఇంట్రెస్ట్ పెట్టండి.,intresta్ pettandi.,
134,"00:06:14,088","00:06:15,218",నమస్తే నాయక్ సాబ్. ఉమ్,namasthe naayak saab. um,
135,"00:06:15,408","00:06:16,018",మీరేంటి ఇక్కడ?,meerenti ikkada?,
136,"00:06:16,387","00:06:18,558",ఈ ఏరియా మాది కదా. ఆ ఏరియా మీదయినా,ee yeriyaa maadhi kadhaa. aa yeriyaa meedhayinaa,
137,"00:06:18,848","00:06:19,798",ఎదోళ్ళు మా వాళ్ళు కదా.,yedhollu maa vaallu kadhaa.,
138,"00:06:19,927","00:06:20,518",రాక తప్పలేదు.,raaka thappaledhu.,
139,"00:06:20,807","00:06:22,918",ఇలా అన్ని కేసులు యాంటీ గూండా స్క్వాడ్ అని మీరే తీసేసుకుంటే,ilaa anni kesulu yaantee goondaa ska్vaad ani meere theesesukunte,
140,"00:06:23,557","00:06:25,158",ఇక మా లోకల్ వాళ్ళకి పని ఏముంటుంది చెప్పండి.,ika maa lokal vaallaki pani yemuntundhi cheppandi.,
141,"00:06:25,208","00:06:25,558",కరెక్ట్,karekt,
142,"00:06:25,887","00:06:26,858",అయితే మీ వాళ్ళకి చెప్పి,ayithe mee vaallaki cheppi,
143,"00:06:27,228","00:06:28,177",విడివిడిగా కాపీ తెప్పించండి.,vidividigaa kaapee theppinchandi.,
144,"00:06:28,507","00:06:29,138",ఓకే. అంటే,oke. ante,
145,"00:06:29,687","00:06:31,358",కాఫీలు మేము తెప్పిస్తే కేసులు మీరు తీసుకుంటారా?,kaapheelu memu theppisthe kesulu meeru theesukuntaaraa?,
146,"00:06:31,648","00:06:32,478",హహహ పాపం,hahaha paapam,
147,"00:06:33,288","00:06:33,898",వీడిని చూడండి.,veedini choodandi.,
148,"00:06:34,507","00:06:34,858",ఇందాకట్నుంచి,indhaakatnunchi,
149,"00:06:35,168","00:06:37,058",కేసు మీరు డీల్ చేస్తారా? మేము డీల్ చేస్తామా?,kesu meeru deel chesthaaraa? memu deel chesthaamaa?,
150,"00:06:37,427","00:06:38,658",అని కన్ఫ్యూజన్తో ఎలా చూస్తున్నాడో.,ani kanphyoojantho yelaa choosthunnaado.,
151,"00:06:39,067","00:06:41,637",వాడు పొద్దున్నుంచి అలాగే చూస్తున్నాడు గానీ మీరు ఇలా కాఫీలు టీలు,vaadu podhdhunnunchi alaage choosthunnaadu gaanee meeru ilaa kaapheelu teelu,
152,"00:06:41,687","00:06:42,677",నాకు పొరపాటు చేయడం ఏం బాలేదండి.,naaku porapaatu cheyadam yem baaledhandi.,
153,"00:06:43,007","00:06:44,498",సర్ ఉమ్ మీరు రండి సర్.,sar um meeru randi sar.,
154,"00:06:44,728","00:06:47,418",వీడు ఇంతే ఎవరి మాట వినడు. కరెక్ట్ అందుకే నన్ను మంటెల్ నాయక్ అని,veedu inthe yevari maata vinadu. karekt andhuke nannu mantel naayak ani,
155,"00:06:47,468","00:06:49,598",కూడా అంటారు. ఆ అబ్బే మీ గురించి కాదు సర్,koodaa antaaru. aa abbe mee gurinchi kaadhu sar,
156,"00:06:49,827","00:06:50,458",మీడియా గురించి.,meediyaa gurinchi.,
157,"00:06:50,708","00:06:52,128",ఇగో పుల్లారావు రా టీవీ నైనా ఇక్కడ.,igo pullaaraavu raa teevee nainaa ikkada.,
158,"00:06:53,387","00:06:54,098",ఓయ్ ఉమ్,oy um,
159,"00:06:54,427","00:06:54,798",ఉమ్ ఉమ్.,um um.,
160,"00:07:00,148","00:07:00,947",రత్నం సర్,rathnam sar,
161,"00:07:01,408","00:07:02,918",ఆ బ్లాస్ట్ అయిన కంటైనర్ ని చూశావా?,aa blaasta్ ayina kantainar ni chooshaavaa?,
162,"00:07:03,088","00:07:05,117",నిన్న రాత్రే అది బ్లాస్ట్ అయింది సర్. అక్కడ మొదలైంది,ninna raathre adhi blaasta్ ayindhi sar. akkada modhalaindhi,
163,"00:07:05,288","00:07:05,638",రచ్చ.,rachha.,
164,"00:08:45,307","00:08:46,197",రత్నం సర్,rathnam sar,
165,"00:08:47,008","00:08:47,878",వీడిని ఎలా చంపాడంటే,veedini yelaa champaadante,
166,"00:10:04,028","00:10:04,827",నన్ను వదిలేయ్ ప్లీజ్,nannu vadhiley pleej,
167,"00:10:06,727","00:10:07,028",సర్ రా,sar raa,
168,"00:10:07,847","00:10:08,538",నేను ఒకటి వదిలేస్తా,nenu okati vadhilesthaa,
169,"00:10:08,868","00:10:09,457",నువ్వొకటి వదిలేయ్.,nuvvokati vadhiley.,
170,"00:10:09,607","00:10:09,957",ఏంటేది?,yentedhi?,
171,"00:10:10,288","00:10:11,098",నేను బుల్లెట్ వదిలేస్తా.,nenu bullet vadhilesthaa.,
172,"00:10:11,467","00:10:12,228",నువ్వు ప్రాణాలు వదిలేయ్.,nuvvu praanaalu vadhiley.,
173,"00:10:14,008","00:10:16,018",అయితే లాస్ట్ చంపింది వీడినేనా సర్? ఉమ్,ayithe laasta్ champindhi veedinenaa sar? um,
174,"00:10:16,788","00:10:17,858",చివరి ముత్తైదువు వీడేనయ్యా.,chivari muththaidhuvu veedenayyaa.,
175,"00:10:18,548","00:10:21,258",ఉండమ్మా బొట్టు పెడతా అన్నట్టు బొట్లు మాత్రం బాగా పెట్టాడు.,undammaa bottu pedathaa annattu botlu maathram baagaa pettaadu.,
176,"00:10:21,587","00:10:21,937",ఏంటే,yente,
177,"00:10:22,128","00:10:22,478",బ్రహ్మంగారు,brahmangaaru,
178,"00:10:22,668","00:10:23,018",కాలజ్ఞానం,kaalagnaanam,
179,"00:10:23,168","00:10:23,838",చెప్పినట్టు చెప్పేస్తున్నాడు.,cheppinattu cheppesthunnaadu.,
180,"00:10:24,248","00:10:26,208",వస్తున్నాడు సర్. ఆ వీళ్ళని ఎందుకు చంపుతున్నాడు సర్?,vasthunnaadu sar. aa veellani yendhuku champuthunnaadu sar?,
181,"00:10:26,258","00:10:27,137",అన్ని వివరంగా తెలుస్తాయి,anni vivarangaa thelusthaayi,
182,"00:10:27,427","00:10:27,778",తెలుస్తాయి.,thelusthaayi.,
183,"00:10:28,207","00:10:29,018",పోలీసోడికి ఇన్వెస్టిగేషన్,poleesodiki investigeshan,
184,"00:10:29,227","00:10:29,978",తో పాటు ఇమాజినేషన్,tho paatu imaajineshan,
185,"00:10:30,128","00:10:30,927",కూడా ఉండాలి. సర్ అది,koodaa undaali. sar adhi,
186,"00:10:32,107","00:10:32,638",ఎలా వినపడతాయో,yelaa vinapadathaayo,
187,"00:10:32,788","00:10:34,918",బాబు వీడికి మనోహర్ ఇప్పుడు ఆ కేసు ఏం చేద్దామంటే,baabu veediki manohar ippudu aa kesu yem chedhdhaamante,
188,"00:10:39,727","00:10:41,158",గుడ్ మార్నింగ్ సర్. ఉమ్ మార్నింగ్.,gud maarning sar. um maarning.,
189,"00:10:41,607","00:10:41,957",కూర్చోండి.,koorchondi.,
190,"00:10:43,187","00:10:45,338",చెప్పండి ఆనంద్ సాబ్ ఎలా ఉంది మీ రియల్ ఎస్టేట్ బిజినెస్?,cheppandi aanandh saab yelaa undhi mee riyal yestet bijines?,
191,"00:10:45,648","00:10:46,697",చాలా డల్ గా ఉంది సర్.,chaalaa dal gaa undhi sar.,
192,"00:10:46,947","00:10:47,298",ఉమ్,um,
193,"00:10:47,648","00:10:49,197",బుకింగ్స్ తగ్గాయి కాల్స్ పెరిగాయి.,bukings thaggaayi kaals perigaayi.,
194,"00:10:49,567","00:10:52,718",కాల్స్ ఏంటి సర్? గ్యాంగ్ లో నాలుగు డబ్బులు సంపాదించిన,kaals yenti sar? gyaang lo naalugu dabbulu sampaadhinchina,
195,"00:10:52,988","00:10:54,298",ప్రతి వాడికి కాల్ చేసి బెదిరిస్తుంటారు,prathi vaadiki kaal chesi bedhiristhuntaaru,
196,"00:10:54,508","00:10:54,858",కదా.,kadhaa.,
197,"00:10:55,227","00:10:56,478",మీకు ఇలాంటి కాల్స్ ఏమైనా,meeku ilaanti kaals yemainaa,
198,"00:10:56,727","00:10:58,258",అబ్బేబ్బే అలాంటిదేం లేదు సర్. ఉమ్.,abbebbe alaantidhem ledhu sar. um.,
199,"00:11:02,268","00:11:02,408",ఈ,ee,
200,"00:11:08,107","00:11:09,298",సాంగ్ ఏ సినిమాలోదో చెప్పండి.,saang ye sinimaalodho cheppandi.,
201,"00:11:09,548","00:11:09,898",మాయాబజార్,maayaabajaar,
202,"00:11:10,028","00:11:10,518",కదా సర్.,kadhaa sar.,
203,"00:11:10,707","00:11:11,658",అరే కరెక్ట్ గా చెప్పారు.,are karekt gaa cheppaaru.,
204,"00:11:12,248","00:11:13,138",ఇది ఎందులోదో చెప్పండి.,idhi yendhulodho cheppandi.,
205,"00:11:13,567","00:11:14,218",అబ్బే సాలే,abbe saale,
206,"00:11:14,758","00:11:16,298",ఇది నేను చేసే చివరి కాల్.,idhi nenu chese chivari kaal.,
207,"00:11:16,668","00:11:17,358",రెండు కోట్లు,rendu kotlu,
208,"00:11:17,807","00:11:19,518",రేపు రాత్రి నా మనుషులు వెయిట్ చేస్తుంటారు.,repu raathri naa manushulu veyit chesthuntaaru.,
209,"00:11:20,187","00:11:22,218",ఒక్క రూపాయి తగ్గినా నీ ఫ్యామిలీలో,okka roopaayi thagginaa nee phyaamileelo,
210,"00:11:22,447","00:11:23,378",ఒక్కడు కూడా మిగలడు.,okkadu koodaa migaladu.,
211,"00:11:23,587","00:11:25,638",ప్లీజ్ సర్ నా ఫ్యామిలీని ఈ ఈ డైలాగ్ ఏ సినిమాలోది,pleej sar naa phyaamileeni ee ee dailaag ye sinimaalodhi,
212,"00:11:26,327","00:11:26,918",మీకు తెలుసా?,meeku thelusaa?,
213,"00:11:27,288","00:11:27,937",తెలీదు సర్.,theleedhu sar.,
214,"00:11:28,128","00:11:28,548",ఆ,aa,
215,"00:11:29,548","00:11:32,687",రత్నం సర్ మన వాళ్ళని సౌండ్స్ రాకుండా సైలెంట్ గా పని చేసుకోమను,rathnam sar mana vaallani saunds raakundaa sailent gaa pani chesukomanu,
216,"00:11:33,107","00:11:33,758",ఏం చేస్తాం.,yem chesthaam.,
217,"00:11:34,067","00:11:34,718",నిజం చెప్పించాలంటే,nijam cheppinchaalante,
218,"00:11:35,307","00:11:35,658",తప్పదుగా.,thappadhugaa.,
219,"00:11:36,207","00:11:36,798",అంటే సర్,ante sar,
220,"00:11:37,248","00:11:38,457",రసూల్ మా ఫ్యామిలీని చంపేస్తానంటే,rasool maa phyaamileeni champesthaanante,
221,"00:11:39,168","00:11:40,218",ఇచ్చాను సర్. ఇచ్చినోడివి,ichhaanu sar. ichhinodivi,
222,"00:11:40,648","00:11:41,858",మళ్ళీ వెనకాల ఎవడిని పంపించావ్.,mallee venakaala yevadini pampinchaav.,
223,"00:11:42,107","00:11:43,197",లేదు సర్ నేనెవరినీ పంపించలేదు.,ledhu sar nenevarinee pampinchaledhu.,
224,"00:11:43,447","00:11:43,798",నిజంగా,nijangaa,
225,"00:11:44,008","00:11:44,618",నిజం సర్.,nijam sar.,
226,"00:11:45,307","00:11:46,918",అసలు ఏం జరిగిందో కరెక్ట్ గా చెప్పు.,asalu yem jarigindho karekt gaa cheppu.,
227,"00:11:47,107","00:11:47,947",నేను వెళ్ళాను సర్.,nenu vellaanu sar.,
228,"00:11:54,107","00:11:54,658",టూ క్రోర్స్.,too krors.,
229,"00:11:56,727","00:11:58,557",ఆ నేను క్యాష్ ఇచ్చి వచ్చేసాను సర్.,aa nenu kyaash ichhi vachhesaanu sar.,
230,"00:11:59,028","00:11:59,838",నువ్వు క్యాష్ ఇచ్చినప్పుడు,nuvvu kyaash ichhinappudu,
231,"00:12:00,008","00:12:01,218",ఆ స్పాట్ లో ఒక్కడే ఉన్నాడా?,aa spaat lo okkade unnaadaa?,
232,"00:12:01,508","00:12:03,838",ఒక్కడే ఉన్నాడు. ఇంకెవరూ లేరా? ఇంకెవరూ లేరు.,okkade unnaadu. inkevaroo leraa? inkevaroo leru.,
233,"00:12:04,128","00:12:04,778",అయితే రత్నం,ayithe rathnam,
234,"00:12:04,988","00:12:06,697",ఇతను వచ్చిన తర్వాత ఏం జరిగిందంటే,ithanu vachhina tharvaatha yem jarigindhante,
235,"00:12:08,327","00:12:09,317",Smell బావుందా?,Smell baavundhaa?,
236,"00:12:11,327","00:12:12,937",ఎవడ్రా నువ్వు? పైకి పోయేవాడివి,yevadraa nuvvu? paiki poyevaadivi,
237,"00:12:13,227","00:12:13,998",పరిచయాలు అవసరమేట్రా,parichayaalu avasarametraa,
238,"00:12:14,168","00:12:14,978",నీకు. అరేయ్.,neeku. arey.,
239,"00:12:22,668","00:12:23,978","సల్మాన్, వాడి సంగతి నేను చూసుకుంటాను.","salmaan, vaadi sangathi nenu choosukuntaanu.",
240,"00:12:24,168","00:12:26,038",నువ్వు bag తీసుకొని వెళ్ళిపో. జాకెట్ సీదా bike కి పోసుకో.,nuvvu bag theesukoni vellipo. jaaket seedhaa bike ki posuko.,
241,"00:12:36,788","00:12:37,817",అది రత్నం కథ.,adhi rathnam katha.,
242,"00:12:38,148","00:12:38,498",వాళ్ళందరినీ,vaallandharinee,
243,"00:12:38,807","00:12:40,378",చంపి వాడు cash తీసుకొని వెళ్ళిపోయాడు.,champi vaadu cash theesukoni vellipoyaadu.,
244,"00:12:41,148","00:12:42,008",ఇతన్ని మనం వదిలేసినా,ithanni manam vadhilesinaa,
